Pair,Deviation,Heartbeat,Dec,Proxy,Enabled
Fast Gas / Gwei,25%,2h,0,0x169E633A2D1E6c10dD91238Ba11c4A708dfEF37C,N
GBP / USD,0.3%,24h,8,0x5c0Ab2d9b5a7ed9f470386e82BB36A3613cDd4b5,N
GNO / ETH,2%,24h,18,0xA614953dF476577E90dcf4e3428960e221EA4727,N
GOOGL / USD,0.5%,24h,8,0x36D39936BeA501755921beB5A382a88179070219,N
GRT / ETH,2%,1h,18,0x17D054eCac33D91F7340645341eFB5DE9009F1C1,N
HBAR / USD,2%,24h,8,0x38C5ae3ee324ee027D88c5117ee58d07c9b4699b,N
HEGIC / ETH,2%,24h,18,0xAf5E8D9Cd9fC85725A83BF23C52f1C39A71588a6,N
HEGIC / USD,2%,24h,8,0xBFC189aC214E6A4a35EBC281ad15669619b75534,N
HT / USD,2%,24h,8,0xE1329B3f6513912CAf589659777b66011AEE5880,N
HUSD / ETH,2%,24h,18,0x1B61BAD1495161bCb6C03DDB0E41622c0270bB1A,N
INJ / USD,2%,24h,8,0xaE2EbE3c4D20cE13cE47cbb49b6d7ee631Cd816e,N
INR / USD,0.5%,24h,8,0x605D5c2fBCeDb217D7987FC0951B5753069bC360,N
IOST / USD,2%,24h,8,0xd0935838935349401c73a06FCde9d63f719e84E5,N
IWM / USD,0.5%,24h,8,0xd6Cc0819228622CcbDb5852EDbc060367E91C7a1,N
JPY / USD,0.3%,24h,8,0xBcE206caE7f0ec07b545EddE332A47C2F75bbeb3,N
KNC / ETH,2%,24h,18,0x656c0544eF4C98A6a98491833A89204Abb045d6b,N
KNC / USD,1%,24h,8,0xf8fF43E991A81e6eC886a3D281A2C6cC19aE70Fc,N
KP3R / ETH,2%,24h,18,0xe7015CCb7E5F788B8c1010FC22343473EaaC3741,N
KRW / USD,0.3%,24h,8,0x01435677FB11763550905594A16B645847C1d0F3,N
KSM / USD,2%,24h,8,0x06E4164E24E72B879D93360D1B9fA05838A62EB5,N
